,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
0,Alabama A & M University,Normal,AL,4,5,420.0,540.0,390.0,520.0,947.0
1,University of Alabama at Birmingham,Birmingham,AL,4,5,570.0,700.0,560.0,700.0,1251.0
3,University of Alabama in Huntsville,Huntsville,AL,4,5,595.0,700.0,600.0,740.0,1321.0
4,Alabama State University,Montgomery,AL,4,5,444.0,538.0,421.0,531.0,977.0
5,The University of Alabama,Tuscaloosa,AL,4,5,590.0,700.0,580.0,700.0,1287.0
8,Auburn University at Montgomery,Montgomery,AL,4,5,500.0,595.0,500.0,615.0,1090.0
9,Auburn University,Auburn,AL,4,5,630.0,690.0,610.0,690.0,1318.0
10,Birmingham-Southern College,Birmingham,AL,3,5,580.0,670.0,570.0,670.0,1197.0
15,Faulkner University,Montgomery,AL,4,5,463.0,585.0,423.0,550.0,1016.0
22,Huntingdon College,Montgomery,AL,4,5,498.0,613.0,513.0,598.0,1148.0
26,Jacksonville State University,Jacksonville,AL,4,5,490.0,620.0,480.0,640.0,1055.0
30,University of West Alabama,Livingston,AL,4,5,470.0,550.0,350.0,428.0,1015.0
32,Marion Military Institute,Marion,AL,2,5,500.0,630.0,510.0,610.0,1043.0
42,Samford University,Birmingham,AL,4,5,550.0,650.0,520.0,610.0,1203.0
46,University of South Alabama,Mobile,AL,4,5,520.0,610.0,495.0,590.0,1119.0
51,Troy University,Troy,AL,4,5,490.0,590.0,460.0,570.0,1086.0
52,Tuskegee University,Tuskegee,AL,4,5,495.0,645.0,500.0,610.0,1121.0
72,University of Arizona,Tucson,AZ,4,6,580.0,700.0,580.0,720.0,1261.0
79,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,4,6,580.0,680.0,580.0,680.0,1255.0
82,Grand Canyon University,Phoenix,AZ,4,6,540.0,620.0,518.0,555.0,1095.0
103,University of Arkansas at Little Rock,Little Rock,AR,4,5,450.0,570.0,440.0,600.0,1049.0
110,University of Arkansas,Fayetteville,AR,4,5,530.0,620.0,520.0,600.0,1174.0
111,University of Arkansas at Pine Bluff,Pine Bluff,AR,4,5,430.0,528.0,450.0,520.0,916.0
113,Arkansas State University,Jonesboro,AR,4,5,510.0,590.0,520.0,590.0,1119.0
114,Arkansas Tech University,Russellville,AR,4,5,480.0,580.0,460.0,570.0,1050.0
119,University of Central Arkansas,Conway,AR,4,5,490.0,570.0,450.0,550.0,1117.0
120,Central Baptist College,Conway,AR,3,5,435.0,570.0,490.0,575.0,1022.0
127,Harding University,Searcy,AR,4,5,530.0,650.0,520.0,630.0,1187.0
129,Hendrix College,Conway,AR,4,5,605.0,695.0,580.0,690.0,1336.0
132,John Brown University,Siloam Springs,AR,4,5,590.0,675.0,540.0,670.0,1222.0
140,Ouachita Baptist University,Arkadelphia,AR,4,5,530.0,660.0,530.0,630.0,1212.0
143,University of the Ozarks,Clarksville,AR,3,5,510.0,580.0,508.0,583.0,1088.0
155,Williams Baptist University,Walnut Ridge,AR,4,5,460.0,540.0,460.0,518.0,1018.0
157,Southern Arkansas University Main Campus,Magnolia,AR,4,5,460.0,590.0,460.0,590.0,1050.0
175,Azusa Pacific University,Azusa,CA,4,8,512.0,657.0,482.0,657.0,1155.0
180,Biola University,La Mirada,CA,4,8,580.0,690.0,550.0,670.0,1258.0
190,California Lutheran University,Thousand Oaks,CA,4,8,577.0,660.0,557.0,660.0,1224.0
236,Chapman University,Orange,CA,4,8,630.0,710.0,620.0,720.0,1353.0
245,Claremont McKenna College,Claremont,CA,4,8,710.0,770.0,740.0,790.0,1514.0
267,Dominican University of California,San Rafael,CA,4,8,525.0,673.0,545.0,618.0,1194.0
297,Harvey Mudd College,Claremont,CA,3,8,720.0,770.0,760.0,790.0,1537.0
310,University of La Verne,La Verne,CA,4,8,510.0,650.0,460.0,653.0,1116.0
345,Northeastern University Oakland,Oakland,CA,0,8,670.0,740.0,720.0,780.0,1500.0
369,Occidental College,Los Angeles,CA,3,8,690.0,750.0,670.0,750.0,1461.0
380,Pacific Union College,Angwin,CA,4,8,490.0,605.0,440.0,585.0,1093.0
381,University of the Pacific,Stockton,CA,4,8,580.0,690.0,580.0,730.0,1303.0
385,Pepperdine University,Malibu,CA,4,8,630.0,710.0,620.0,740.0,1367.0
387,Point Loma Nazarene University,San Diego,CA,4,8,590.0,710.0,550.0,700.0,1278.0
388,Pomona College,Claremont,CA,3,8,730.0,770.0,750.0,790.0,1520.0
394,University of Redlands,Redlands,CA,4,8,548.0,670.0,530.0,653.0,1231.0
411,University of San Francisco,San Francisco,CA,4,8,610.0,690.0,600.0,700.0,1313.0
421,Santa Clara University,Santa Clara,CA,4,8,660.0,730.0,680.0,770.0,1417.0
425,Scripps College,Claremont,CA,4,8,720.0,760.0,700.0,770.0,1480.0
448,University of Southern California,Los Angeles,CA,4,8,700.0,760.0,740.0,790.0,1501.0
452,Thomas Aquinas College,Santa Paula,CA,3,8,590.0,690.0,570.0,640.0,1277.0
469,Westmont College,Santa Barbara,CA,3,8,622.0,720.0,590.0,698.0,1367.0
480,University of Colorado Denver/Anschutz Medical Campus,Denver,CO,4,7,500.0,620.0,480.0,600.0,1119.0
481,University of Colorado Colorado Springs,Colorado Springs,CO,4,7,520.0,630.0,500.0,610.0,1140.0
483,University of Colorado Boulder,Boulder,CO,4,7,620.0,700.0,610.0,720.0,1353.0
485,Colorado College,Colorado Springs,CO,4,7,690.0,760.0,675.0,760.0,1445.0
489,Colorado School of Mines,Golden,CO,4,7,650.0,720.0,670.0,750.0,1403.0
498,University of Denver,Denver,CO,4,7,630.0,710.0,610.0,700.0,1344.0
500,Fort Lewis College,Durango,CO,4,7,500.0,630.0,480.0,590.0,1084.0
505,Colorado Mesa University,Grand Junction,CO,4,7,470.0,600.0,460.0,580.0,1070.0
506,Metropolitan State University of Denver,Denver,CO,4,7,450.0,570.0,430.0,540.0,1014.0
511,University of Northern Colorado,Greeley,CO,4,7,490.0,600.0,480.0,580.0,1077.0
519,Colorado State University Pueblo,Pueblo,CO,4,7,450.0,560.0,420.0,540.0,1005.0
524,United States Air Force Academy,USAF Academy,CO,3,0,620.0,710.0,630.0,740.0,1362.0
526,Western Colorado University,Gunnison,CO,4,7,500.0,630.0,500.0,610.0,1130.0
529,University of Bridgeport,Bridgeport,CT,4,1,470.0,585.0,410.0,530.0,985.0
530,Central Connecticut State University,New Britain,CT,4,1,480.0,600.0,480.0,580.0,1091.0
533,Connecticut College,New London,CT,3,1,680.0,740.0,660.0,730.0,1412.0
535,University of Connecticut,Storrs,CT,4,1,610.0,700.0,600.0,720.0,1274.0
538,Eastern Connecticut State University,Willimantic,CT,4,1,570.0,670.0,540.0,650.0,1200.0
539,Fairfield University,Fairfield,CT,4,1,620.0,690.0,620.0,690.0,1323.0
545,University of Hartford,West Hartford,CT,4,1,560.0,650.0,540.0,630.0,1207.0
550,University of New Haven,West Haven,CT,4,1,560.0,640.0,530.0,620.0,1190.0
554,Quinnipiac University,Hamden,CT,4,1,560.0,650.0,540.0,650.0,1212.0
556,University of Saint Joseph,West Hartford,CT,4,1,460.0,630.0,500.0,620.0,1100.0
558,Trinity College,Hartford,CT,4,1,660.0,730.0,650.0,730.0,1396.0
559,United States Coast Guard Academy,New London,CT,3,0,610.0,690.0,600.0,690.0,1290.0
560,Wesleyan University,Middletown,CT,4,1,720.0,770.0,730.0,770.0,1513.0
561,Western Connecticut State University,Danbury,CT,4,1,440.0,600.0,400.0,550.0,1044.0
562,Yale University,New Haven,CT,4,1,740.0,780.0,760.0,800.0,1534.0
566,Delaware State University,Dover,DE,4,2,440.0,550.0,420.0,520.0,984.0
567,University of Delaware,Newark,DE,4,2,610.0,680.0,590.0,680.0,1297.0
571,American University,Washington,DC,4,2,670.0,740.0,630.0,710.0,1392.0
575,Gallaudet University,Washington,DC,4,2,370.0,463.0,380.0,470.0,857.0
576,George Washington University,Washington,DC,4,2,680.0,750.0,670.0,750.0,1433.0
577,Georgetown University,Washington,DC,4,2,700.0,770.0,690.0,780.0,1494.0
578,Howard University,Washington,DC,4,2,560.0,660.0,540.0,638.0,1205.0
584,Baptist University of Florida,Graceville,FL,4,5,500.0,650.0,430.0,550.0,1045.0
586,Bethune-Cookman University,Daytona Beach,FL,4,5,430.0,520.0,400.0,480.0,913.0
587,Lynn University,Boca Raton,FL,4,5,520.0,620.0,510.0,580.0,1136.0
593,Johnson University Florida,Kissimmee,FL,3,5,410.0,500.0,430.0,520.0,1060.0
594,University of Central Florida,Orlando,FL,4,5,610.0,680.0,580.0,670.0,1277.0
600,Eckerd College,Saint Petersburg,FL,3,5,600.0,678.0,550.0,658.0,1256.0
603,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,4,5,570.0,670.0,570.0,680.0,1255.0
604,Florida Agricultural and Mechanical University,Tallahassee,FL,4,5,530.0,590.0,500.0,560.0,1100.0
605,Florida Atlantic University,Boca Raton,FL,4,5,530.0,620.0,510.0,590.0,1119.0
607,Flagler College,Saint Augustine,FL,4,5,520.0,620.0,470.0,580.0,1099.0
608,Florida College,Temple Terrace,FL,3,5,480.0,640.0,470.0,610.0,1068.0
613,Florida Institute of Technology,Melbourne,FL,4,5,570.0,660.0,560.0,660.0,1213.0
614,Florida International University,Miami,FL,4,5,550.0,640.0,510.0,610.0,1154.0
619,Florida Southern College,Lakeland,FL,4,5,590.0,660.0,580.0,650.0,1263.0
620,Florida State University,Tallahassee,FL,4,5,630.0,700.0,610.0,690.0,1323.0
621,University of Florida,Gainesville,FL,4,5,650.0,730.0,650.0,750.0,1390.0
634,Jacksonville University,Jacksonville,FL,4,5,570.0,640.0,540.0,620.0,1211.0
652,University of Miami,Coral Gables,FL,4,5,660.0,720.0,670.0,750.0,1416.0
656,University of North Florida,Jacksonville,FL,4,5,510.0,620.0,480.0,590.0,1115.0
657,Nova Southeastern University,Fort Lauderdale,FL,4,5,540.0,660.0,510.0,650.0,1182.0
660,Palm Beach Atlantic University,West Palm Beach,FL,4,5,500.0,620.0,470.0,590.0,1101.0
671,Rollins College,Winter Park,FL,4,5,620.0,690.0,590.0,670.0,1304.0
683,University of South Florida,Tampa,FL,4,5,580.0,670.0,560.0,660.0,1235.0
685,Stetson University,DeLand,FL,4,5,560.0,660.0,530.0,630.0,1208.0
694,Trinity Baptist College,Jacksonville,FL,4,5,450.0,535.0,430.0,520.0,1007.0
695,Trinity College of Florida,Trinity,FL,3,5,430.0,500.0,380.0,480.0,905.0
697,Warner University,Lake Wales,FL,4,5,440.0,550.0,400.0,520.0,937.0
701,University of West Florida,Pensacola,FL,4,5,520.0,630.0,500.0,600.0,1137.0
706,Abraham Baldwin Agricultural College,Tifton,GA,3,5,470.0,570.0,430.0,540.0,994.0
707,Agnes Scott College,Decatur,GA,4,5,610.0,710.0,570.0,640.0,1296.0
715,Point University,West Point,GA,4,5,490.0,650.0,482.0,587.0,1059.0
721,Berry College,Mount Berry,GA,4,5,570.0,658.0,530.0,620.0,1223.0
723,Brenau University,Gainesville,GA,4,5,510.0,590.0,480.0,580.0,1087.0
725,College of Coastal Georgia,Brunswick,GA,3,5,470.0,602.0,430.0,563.0,1001.0
727,Clayton  State University,Morrow,GA,4,5,450.0,550.0,418.0,520.0,973.0
730,Columbus State University,Columbus,GA,4,5,460.0,570.0,400.0,530.0,994.0
732,Covenant College,Lookout Mountain,GA,4,5,590.0,710.0,540.0,680.0,1254.0
738,Emory University,Atlanta,GA,4,5,710.0,760.0,750.0,790.0,1509.0
740,Fort Valley State University,Fort Valley,GA,4,5,400.0,480.0,395.0,440.0,864.0
742,Georgia Institute of Technology-Main Campus,Atlanta,GA,4,5,650.0,740.0,680.0,790.0,1447.0
743,Georgia Southwestern State University,Americus,GA,4,5,470.0,590.0,430.0,540.0,998.0
744,Georgia College & State University,Milledgeville,GA,4,5,540.0,640.0,520.0,600.0,1150.0
745,Georgia Southern University,Statesboro,GA,4,5,500.0,590.0,480.0,570.0,1057.0
746,Georgia State University,Atlanta,GA,4,5,530.0,640.0,510.0,640.0,1100.0
747,University of Georgia,Athens,GA,4,5,590.0,690.0,570.0,700.0,1301.0
756,Life University,Marietta,GA,4,5,440.0,570.0,460.0,550.0,994.0
759,Mercer University,Macon,GA,4,5,600.0,680.0,580.0,670.0,1280.0
764,Oglethorpe University,Atlanta,GA,3,5,573.0,670.0,533.0,650.0,1230.0
766,Piedmont University,Demorest,GA,4,5,510.0,600.0,480.0,570.0,1074.0
770,Savannah College of Art and Design,Savannah,GA,4,5,550.0,670.0,500.0,610.0,1178.0
772,Shorter University,Rome,GA,4,5,450.0,580.0,450.0,550.0,1075.0
774,Spelman College,Atlanta,GA,3,5,550.0,660.0,510.0,610.0,1184.0
775,Thomas University,Thomasville,GA,4,5,490.0,540.0,480.0,570.0,1037.0
776,Toccoa Falls College,Toccoa Falls,GA,4,5,540.0,650.0,520.0,600.0,1155.0
779,Valdosta State University,Valdosta,GA,4,5,490.0,580.0,460.0,550.0,1037.0
780,Wesleyan College,Macon,GA,4,5,433.0,465.0,443.0,478.0,905.0
781,University of West Georgia,Carrollton,GA,4,5,480.0,580.0,450.0,550.0,1044.0
783,Chaminade University of Honolulu,Honolulu,HI,4,8,565.0,665.0,520.0,655.0,1155.0
784,University of Hawaii at Hilo,Hilo,HI,4,8,478.0,570.0,420.0,540.0,1025.0
785,University of Hawaii at Manoa,Honolulu,HI,4,8,540.0,640.0,480.0,600.0,1157.0
787,Hawaii Pacific University,Honolulu,HI,4,8,548.0,650.0,520.0,630.0,1180.0
793,University of Hawaii-West Oahu,Kapolei,HI,3,8,540.0,610.0,490.0,600.0,973.0
796,Boise Bible College,Boise,ID,3,7,470.0,620.0,450.0,580.0,1080.0
800,University of Idaho,Moscow,ID,4,7,490.0,610.0,460.0,590.0,1088.0
801,The College of Idaho,Caldwell,ID,4,7,540.0,640.0,540.0,630.0,1166.0
805,Northwest Nazarene University,Nampa,ID,4,7,470.0,620.0,470.0,590.0,1184.0
807,Brigham Young University-Idaho,Rexburg,ID,3,7,500.0,610.0,480.0,590.0,1123.0
813,Augustana College,Rock Island,IL,4,3,500.0,620.0,510.0,630.0,1133.0
814,Aurora University,Aurora,IL,4,3,470.0,583.0,460.0,550.0,1072.0
820,Bradley University,Peoria,IL,4,3,550.0,650.0,540.0,650.0,1237.0
833,University of Chicago,Chicago,IL,4,3,740.0,770.0,770.0,800.0,1554.0
845,DePaul University,Chicago,IL,4,3,570.0,680.0,560.0,660.0,1254.0
849,Eastern Illinois University,Charleston,IL,4,3,460.0,570.0,430.0,540.0,1010.0
851,Elmhurst University,Elmhurst,IL,4,3,480.0,610.0,480.0,600.0,1116.0
859,Greenville University,Greenville,IL,4,3,430.0,608.0,381.0,611.0,1034.0
866,University of Illinois Chicago,Chicago,IL,4,3,560.0,660.0,560.0,680.0,1242.0
869,University of Illinois Urbana-Champaign,Champaign,IL,4,3,630.0,730.0,640.0,780.0,1418.0
870,Illinois Wesleyan University,Bloomington,IL,3,3,570.0,660.0,570.0,670.0,1242.0
872,Illinois College,Jacksonville,IL,3,3,490.0,583.0,488.0,600.0,1082.0
874,Illinois Institute of Technology,Chicago,IL,4,3,570.0,690.0,610.0,720.0,1296.0
875,Illinois State University,Normal,IL,4,3,510.0,620.0,500.0,610.0,1127.0
881,Judson University,Elgin,IL,4,3,435.0,540.0,425.0,540.0,985.0
885,Knox College,Galesburg,IL,3,3,530.0,680.0,590.0,705.0,1250.0
888,Lake Forest College,Lake Forest,IL,4,3,590.0,685.0,580.0,680.0,1309.0
893,Lewis University,Romeoville,IL,4,3,490.0,610.0,500.0,610.0,1117.0
897,Loyola University Chicago,Chicago,IL,4,3,590.0,680.0,570.0,660.0,1283.0
907,Millikin University,Decatur,IL,4,3,450.0,600.0,410.0,570.0,1050.0
908,Monmouth College,Monmouth,IL,3,3,510.0,630.0,500.0,600.0,1128.0
916,North Central College,Naperville,IL,4,3,535.0,650.0,530.0,630.0,1165.0
920,Northwestern University,Evanston,IL,4,3,730.0,770.0,760.0,790.0,1526.0
924,Olivet Nazarene University,Bourbonnais,IL,4,3,480.0,600.0,480.0,590.0,1103.0
927,Principia College,Elsah,IL,3,3,510.0,640.0,530.0,610.0,1096.0
929,Quincy University,Quincy,IL,4,3,540.0,630.0,530.0,620.0,1157.0
933,Rockford University,Rockford,IL,4,3,450.0,535.0,400.0,535.0,984.0
934,Roosevelt University,Chicago,IL,4,3,430.0,550.0,390.0,540.0,1000.0
935,Dominican University,River Forest,IL,4,3,480.0,570.0,454.0,570.0,1022.0
938,University of St Francis,Joliet,IL,4,3,460.0,590.0,440.0,580.0,1055.0
941,University of Illinois Springfield,Springfield,IL,4,3,510.0,610.0,500.0,600.0,1118.0
952,Southern Illinois University-Carbondale,Carbondale,IL,4,3,470.0,580.0,440.0,560.0,1060.0
953,Southern Illinois University-Edwardsville,Edwardsville,IL,4,3,460.0,590.0,440.0,570.0,1063.0
957,Trinity Christian College,Palos Heights,IL,4,3,520.0,590.0,530.0,610.0,1154.0
964,Wheaton College,Wheaton,IL,4,3,650.0,720.0,610.0,720.0,1363.0
966,Anderson University,Anderson,IN,4,3,480.0,590.0,460.0,580.0,1054.0
967,Ball State University,Muncie,IN,4,3,550.0,630.0,530.0,620.0,1172.0
968,Bethel University,Mishawaka,IN,4,3,470.0,600.0,470.0,590.0,1073.0
969,Butler University,Indianapolis,IN,4,3,590.0,680.0,590.0,680.0,1282.0
975,DePauw University,Greencastle,IN,3,3,570.0,680.0,570.0,750.0,1287.0
977,Earlham College,Richmond,IN,4,3,608.0,690.0,570.0,673.0,1250.0
979,Franklin College,Franklin,IN,4,3,500.0,600.0,520.0,600.0,1119.0
980,Goshen College,Goshen,IN,4,3,420.0,570.0,430.0,563.0,1049.0
981,Grace College and Theological Seminary,Winona Lake,IN,4,3,480.0,600.0,470.0,600.0,1088.0
982,Hanover College,Hanover,IN,4,3,540.0,640.0,530.0,600.0,1197.0
984,Holy Cross College,Notre Dame,IN,3,3,490.0,660.0,490.0,640.0,1229.0
986,Huntington University,Huntington,IN,4,3,470.0,590.0,530.0,600.0,1124.0
988,Purdue University Fort Wayne,Fort Wayne,IN,4,3,480.0,600.0,480.0,590.0,1078.0
989,Indiana University-Indianapolis,Indianapolis,IN,4,3,520.0,620.0,520.0,610.0,1146.0
992,University of Southern Indiana,Evansville,IN,4,3,510.0,610.0,510.0,610.0,1131.0
994,Indiana University-Kokomo,Kokomo,IN,4,3,490.0,590.0,480.0,590.0,1063.0
995,Indiana University-South Bend,South Bend,IN,4,3,490.0,590.0,480.0,580.0,1072.0
996,Indiana University-Bloomington,Bloomington,IN,4,3,590.0,690.0,580.0,710.0,1308.0
997,Indiana University-Northwest,Gary,IN,4,3,480.0,580.0,460.0,590.0,1067.0
998,Indiana University-Southeast,New Albany,IN,4,3,510.0,610.0,500.0,580.0,1097.0
999,Indiana University-East,Richmond,IN,4,3,500.0,610.0,510.0,610.0,1135.0
1006,Indiana Wesleyan University-Marion,Marion,IN,4,3,490.0,600.0,480.0,580.0,1074.0
1011,University of Notre Dame,Notre Dame,IN,4,3,710.0,760.0,730.0,780.0,1510.0
1016,Rose-Hulman Institute of Technology,Terre Haute,IN,4,3,620.0,710.0,660.0,760.0,1389.0
1017,University of Saint Francis-Fort Wayne,Fort Wayne,IN,4,3,470.0,570.0,450.0,560.0,1040.0
1018,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,4,3,440.0,540.0,435.0,530.0,966.0
1019,Saint Mary's College,Notre Dame,IN,4,3,560.0,650.0,540.0,660.0,1233.0
1021,Saint Elizabeth School of Nursing,Lafayette,IN,1,3,480.0,570.0,470.0,570.0,1020.0
1022,Taylor University,Upland,IN,4,3,540.0,670.0,530.0,670.0,1232.0
1024,Valparaiso University,Valparaiso,IN,4,3,540.0,660.0,540.0,650.0,1226.0
1027,Wabash College,Crawfordsville,IN,3,3,540.0,630.0,560.0,670.0,1210.0
1033,Central College,Pella,IA,3,4,490.0,580.0,445.0,625.0,1115.0
1034,Clarke University,Dubuque,IA,4,4,480.0,525.0,410.0,520.0,1060.0
1035,Coe College,Cedar Rapids,IA,3,4,520.0,660.0,560.0,620.0,1206.0
1036,Cornell College,Mount Vernon,IA,4,4,580.0,655.0,570.0,663.0,1246.0
1039,Dordt University,Sioux Center,IA,4,4,510.0,620.0,520.0,610.0,1175.0
1040,Drake University,Des Moines,IA,4,4,610.0,690.0,580.0,700.0,1288.0
1041,University of Dubuque,Dubuque,IA,4,4,470.0,580.0,480.0,580.0,1119.0
1043,Emmaus Bible College,Dubuque,IA,3,4,460.0,510.0,450.0,550.0,1109.0
1045,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,4,4,460.0,620.0,480.0,560.0,1088.0
1048,Grinnell College,Grinnell,IA,3,4,698.0,760.0,720.0,790.0,1486.0
1057,Iowa State University,Ames,IA,4,4,550.0,660.0,560.0,690.0,1199.0
1059,University of Iowa,Iowa City,IA,4,4,570.0,660.0,560.0,660.0,1220.0
1066,Luther College,Decorah,IA,3,4,550.0,650.0,548.0,668.0,1238.0
1074,University of Northern Iowa,Cedar Falls,IA,4,4,460.0,580.0,400.0,630.0,1120.0
1090,Upper Iowa University,Fayette,IA,4,4,500.0,590.0,470.0,570.0,929.0
1092,Wartburg College,Waverly,IA,4,4,490.0,605.0,488.0,630.0,1136.0
1096,William Penn University,Oskaloosa,IA,4,4,440.0,540.0,390.0,560.0,996.0
1100,Benedictine College,Atchison,KS,4,4,560.0,660.0,557.0,650.0,1244.0
1113,Fort Hays State University,Hays,KS,4,4,490.0,600.0,480.0,600.0,1118.0
1115,Friends University,Wichita,KS,4,4,465.0,550.0,450.0,540.0,1014.0
1128,University of Kansas,Lawrence,KS,4,4,530.0,650.0,520.0,640.0,1186.0
1131,Kansas State University,Manhattan,KS,4,4,530.0,630.0,510.0,630.0,1149.0
1137,McPherson College,McPherson,KS,4,4,468.0,573.0,468.0,553.0,1068.0
1138,MidAmerica Nazarene University,Olathe,KS,4,4,463.0,570.0,465.0,548.0,1016.0
1142,Ottawa University-Ottawa,Ottawa,KS,4,4,460.0,590.0,420.0,550.0,1000.0
1146,University of Saint Mary,Leavenworth,KS,4,4,448.0,560.0,478.0,533.0,1047.0
1151,Tabor College,Hillsboro,KS,4,4,420.0,560.0,410.0,570.0,1049.0
1154,Wichita State University,Wichita,KS,4,4,490.0,630.0,480.0,620.0,1118.0
1160,Bellarmine University,Louisville,KY,4,5,535.0,613.0,540.0,630.0,1208.0
1161,Berea College,Berea,KY,3,5,588.0,680.0,568.0,655.0,1248.0
